Year	id	Country	Preservation Requests	Preservation Accounts Preserved	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Legal Process Request Total	Legal Process Request Total Accounts	Legal Process Request Total Percentage	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Emergency Disclosures Accounts	Emergency Disclosures	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III,Title III Accounts	Title III Percentage	Title III	Title III Accounts	NSLs	NSLs Accounts
2016	CRI	Costa Rica	175.0	123.0	8.0	13.0	20.0	7.0	12.0	20.0	1.0	1.0	0.0																								
2016	HRV	Croatia	5.0	2.0	113.0	124.0	94.535	113.0	124.0	94.535	0.0	0.0	0.0																								
2016	CYP	Cyprus	11.0	3.0	21.0	28.0	18.18	16.0	23.0	0.0	5.0	5.0	40.0																								
2016	CZE	Czech Republic	145.0	138.0	116.0	168.0	77.61500000000001	86.0	122.0	74.41499999999999	30.0	46.0	88.89																								
2016	DNK	Denmark	72.0	70.0	63.0	101.0	45.94	61.0	98.0	44.155	2.0	3.0	100.0																								
2016	DOM	Dominican Republic	93.0	45.0	180.0	239.0	52.135000000000005	168.0	220.0	51.385	12.0	19.0	61.43																								
2016	ECU	Ecuador	59.0	99.0	49.0	61.0	62.68	42.0	54.0	29.76	7.0	7.0	58.335																								
2016	EGY	Egypt	2	0	1	1	0%	1	1	0%	0	0	0%																								
2016	SLV	El Salvador	8.0	7.0	9.0	11.0	16.665	9.0	11.0	16.665	0.0	0.0	0.0																								
2016	EST	Estonia	5.0	3.0	41.0	58.0	72.425	37.0	54.0	71.175	4.0	4.0	37.5																								
2016	FIN	Finland	26.0	42.0	72.0	95.0	80.65	70.0	93.0	81.455	2.0	2.0	25.0																								
